Order_id,O_lng,O_lat,S_lng,S_lat,L_lng,L_lat,D_lng,D_lat,Start_time,Arrive_store_time,Delivery_start_time,End_time
order_4,113.93380394150421,22.51217494150422,113.938408,22.516779,113.916008,22.496813,113.91941389698509,22.497784896985095,11:2:0,11:4:0,11:4:0,11:9:0
order_25,113.94330284429793,22.521673844297933,113.938408,22.516779,113.916008,22.496813,113.91924293212834,22.497613932128345,11:3:0,11:5:0,11:5:0,11:10:0
order_14,113.93464045306088,22.513011453060884,113.938408,22.516779,113.920909,22.502911,113.92306074753407,22.501431747534063,11:7:0,11:8:0,11:8:0,11:12:0
order_10,113.94297634078696,22.521347340786964,113.938408,22.516779,113.92868,22.50203,113.9247724676741,22.503143467674104,11:7:0,11:9:0,11:9:0,11:12:0
order_12,113.94215826635815,22.520529266358153,113.938408,22.516779,113.96682,22.545623,113.96446880194085,22.54283980194085,11:56:0,11:57:0,11:57:0,12:4:0
order_17,113.94256490787662,22.520935907876623,113.938408,22.516779,113.92868,22.50203,113.92456818148771,22.50293918148771,11:58:0,11:59:0,11:59:0,12:3:0
order_9,113.9337088081407,22.512079808140694,113.938028,22.516583,113.916008,22.496813,113.9183471602097,22.496718160209717,11:1:0,11:3:0,11:3:0,11:8:0
order_39,113.93448983959482,22.51286083959482,113.938028,22.516583,113.916008,22.496813,113.91791365284988,22.496284652849877,11:6:0,11:7:0,11:7:0,11:12:0
order_38,113.93454601261678,22.51291701261679,113.938028,22.516583,113.920909,22.502911,113.9209000642908,22.499271064290806,11:7:0,11:8:0,11:8:0,11:12:0
order_13,113.93469872382599,22.513253723825994,113.938028,22.516583,113.916008,22.496813,113.91430673845286,22.492861738452863,11:10:0,11:11:0,11:11:0,11:16:0
order_11,113.93481233596196,22.51336733596197,113.938028,22.516583,113.920909,22.502911,113.92229832699616,22.500853326996154,11:11:0,11:12:0,11:12:0,11:16:0
order_30,113.93514788553593,22.513702885535928,113.938028,22.516583,113.920909,22.502911,113.923282225115,22.501837225115,11:13:0,11:14:0,11:14:0,11:18:0
order_8,114.19340868060868,22.640056680608684,114.195815,22.642463,114.219974,22.664749,114.21888790411911,22.66553590411912,11:16:0,11:17:0,11:17:0,11:22:0
order_6,114.19357972208503,22.640227722085033,114.195815,22.642463,114.209645,22.652466,114.20954674626162,22.656194746261633,11:17:0,11:18:0,11:18:0,11:21:0
order_19,114.19406653340916,22.64071453340916,114.195815,22.642463,114.209645,22.652466,114.20961806298797,22.65626606298797,11:20:0,11:20:0,11:20:0,11:23:0
order_0,114.19410200520532,22.64075000520533,114.195815,22.642463,114.214763,22.658494,114.21258267225888,22.65923067225888,11:21:0,11:21:0,11:21:0,11:26:0
order_26,114.20067768925122,22.647325689251232,114.195815,22.642463,114.214763,22.658494,114.21501931737131,22.66166731737131,11:20:0,11:22:0,11:22:0,11:27:0
order_28,114.19427264782082,22.64092064782082,114.195815,22.642463,114.186301,22.627671,114.18165925136591,22.62830725136592,11:22:0,11:22:0,11:23:0,11:26:0
order_20,114.19451944077417,22.64116744077417,114.195815,22.642463,114.209645,22.652466,114.20978182454246,22.65642982454246,11:23:0,11:23:0,11:24:0,11:27:0
order_31,114.19442856754436,22.64107656754437,114.195815,22.642463,114.219974,22.664749,114.22024815029847,22.666896150298477,11:23:0,11:23:0,11:25:0,11:31:0
order_7,114.19447444707771,22.64112244707771,114.195815,22.642463,114.219974,22.664749,114.22002358206012,22.666671582060133,11:23:0,11:23:0,11:26:0,11:32:0
