Order_id,O_lng,O_lat,S_lng,S_lat,L_lng,L_lat,D_lng,D_lat,Start_time,Arrive_store_time,Delivery_start_time,End_time
order_25,114.11574908149775,22.541622081497753,114.120706,22.546579,114.106986,22.533928,114.10697523125917,22.53284823125917,11:0:0,11:2:0,11:2:0,11:5:0
order_19,114.11591866415014,22.54179166415015,114.120706,22.546579,114.136533,22.566011,114.14101418029176,22.56688718029177,11:1:0,11:3:0,11:3:0,11:7:0
order_81,114.11608326422565,22.541956264225657,114.120706,22.546579,114.136533,22.566011,114.13583641761943,22.56170941761943,11:2:0,11:4:0,11:4:0,11:8:0
order_85,114.1254506893199,22.551323689319908,114.120706,22.546579,114.106986,22.533928,114.10647096184972,22.532343961849723,11:3:0,11:5:0,11:5:0,11:8:0
order_69,114.11699024237885,22.54153924237885,114.120706,22.546579,114.136533,22.566011,114.14123439767494,22.565783397674934,11:4:0,11:6:0,11:6:0,11:10:0
order_87,114.11702502299556,22.541574022995558,114.120706,22.546579,114.136533,22.566011,114.13798625235712,22.562535252357126,11:4:0,11:6:0,11:7:0,11:11:0
order_45,114.11727425085101,22.541823250851007,114.120706,22.546579,114.130321,22.558473,114.13451233383503,22.559061333835032,11:6:0,11:7:0,11:8:0,11:11:0
order_95,114.1359634539263,22.5648934539263,114.120706,22.546579,114.118461,22.546147,114.11671902602352,22.545649026023522,11:8:0,11:15:0,11:15:0,11:16:0
order_44,114.12239364412443,22.548266644124432,114.120706,22.546579,114.144848,22.564499,114.14139693816027,22.567269938160265,11:42:0,11:42:0,11:42:0,11:48:0
order_0,114.12254840952411,22.54842140952412,114.120706,22.546579,114.106986,22.533928,114.10630029131929,22.532173291319292,11:43:0,11:43:0,11:43:0,11:47:0
order_70,114.12288708810388,22.548760088103887,114.120706,22.546579,114.136533,22.566011,114.13659989469872,22.56247289469872,11:45:0,11:45:0,11:45:0,11:50:0
order_96,114.12324834351391,22.549121343513903,114.120706,22.546579,114.139506,22.57101,114.14410640617608,22.569979406176078,11:48:0,11:49:0,11:49:0,11:54:0
order_47,114.12394701409463,22.549820014094625,114.120706,22.546579,114.106986,22.533928,114.10440419428434,22.530277194284345,11:52:0,11:53:0,11:53:0,11:56:0
order_7,114.12472695148011,22.54927595148011,114.120706,22.546579,114.136533,22.566011,114.13782061844765,22.562369618447644,11:53:0,11:54:0,11:54:0,11:59:0
order_90,114.12422169458046,22.55009469458045,114.120706,22.546579,114.136533,22.566011,114.13788440841343,22.563757408413434,11:54:0,11:55:0,11:55:0,12:0:0
order_3,114.12442821809829,22.55030121809829,114.120706,22.546579,114.136533,22.566011,114.1396276146691,22.565500614669098,11:55:0,11:56:0,11:56:0,12:1:0
order_28,114.1244713851491,22.55034438514911,114.120706,22.546579,114.139506,22.57101,114.14403011633159,22.569903116331602,11:56:0,11:57:0,11:57:0,12:3:0
order_62,114.11584696738781,22.541719967387817,114.121291,22.54584,114.106986,22.533928,114.10699989967675,22.532872899676757,11:0:0,11:2:0,11:2:0,11:5:0
order_92,114.11571383935737,22.541586839357375,114.121291,22.54584,114.106986,22.533928,114.10633545950756,22.53220845950757,11:0:0,11:2:0,11:3:0,11:6:0
order_79,114.1158823562728,22.54175535627281,114.121291,22.54584,114.106986,22.533928,114.10718309713285,22.533056097132853,11:1:0,11:3:0,11:4:0,11:7:0
order_59,114.11607433011457,22.54194733011457,114.121291,22.54584,114.106986,22.533928,114.10693947159133,22.532812471591342,11:2:0,11:4:0,11:5:0,11:8:0
order_60,114.11696300554563,22.54151200554563,114.121291,22.54584,114.106986,22.533928,114.10733981459356,22.531888814593565,11:4:0,11:5:0,11:6:0,11:9:0
order_99,114.11703076604427,22.54157976604427,114.121291,22.54584,114.136533,22.566011,114.14057653419792,22.565125534197914,11:4:0,11:5:0,11:7:0,11:11:0
order_71,114.1260195442878,22.550568544287795,114.121291,22.54584,114.106986,22.533928,114.10603791643395,22.53058691643394,11:6:0,11:8:0,11:8:0,11:11:0
order_51,114.117500860062,22.54204986006199,114.121291,22.54584,114.136533,22.566011,114.14092578207733,22.565474782077334,11:7:0,11:8:0,11:9:0,11:13:0
order_55,114.12207502518909,22.54794802518909,114.121291,22.54584,114.144848,22.564499,114.14261040302542,22.568483403025418,11:40:0,11:40:0,11:40:0,11:46:0
order_46,114.12287869807783,22.54742769807783,114.121291,22.54584,114.136533,22.566011,114.1379718020444,22.562520802044403,11:42:0,11:42:0,11:42:0,11:47:0
order_58,114.12315820178362,22.547707201783627,114.121291,22.54584,114.136533,22.566011,114.13934264262332,22.563891642623314,11:43:0,11:43:0,11:43:0,11:48:0
order_16,114.12530846791658,22.551181467916585,114.121291,22.54584,114.139506,22.57101,114.14378721187394,22.569660211873945,11:44:0,11:46:0,11:46:0,11:51:0
order_94,114.12435220162173,22.550225201621732,114.121291,22.54584,114.144848,22.564499,114.14188370690043,22.567756706900433,11:55:0,11:56:0,11:56:0,12:2:0
order_39,114.12512816760513,22.549677167605125,114.121291,22.54584,114.130321,22.558473,114.13484233980938,22.55939133980938,11:56:0,11:57:0,11:57:0,12:0:0
order_48,114.13609459825163,22.565024598251636,114.139647,22.568577,114.113451,22.539579,114.11367180163673,22.54260180163673,11:9:0,11:10:0,11:10:0,11:17:0
order_98,114.1362343467998,22.565164346799797,114.139647,22.568577,114.123092,22.552098,114.12428079560482,22.55321079560482,11:10:0,11:11:0,11:11:0,11:15:0
order_64,114.13651543904007,22.565445439040076,114.139647,22.568577,114.123092,22.552098,114.12522234144485,22.55415234144486,11:11:0,11:12:0,11:12:0,11:16:0
order_89,114.14423784743053,22.573167847430533,114.139647,22.568577,114.118461,22.546147,114.11685595529516,22.545785955295177,11:11:0,11:13:0,11:13:0,11:19:0
order_17,114.14163810777296,22.570568107772967,114.139647,22.568577,114.118461,22.546147,114.1173623619658,22.546292361965808,11:44:0,11:44:0,11:44:0,11:50:0
order_6,114.14192386138025,22.57085386138025,114.139647,22.568577,114.118461,22.546147,114.11699943090697,22.545929430906984,11:46:0,11:47:0,11:47:0,11:52:0
order_26,114.1425146848236,22.5714446848236,114.139647,22.568577,114.118461,22.546147,114.11819531134809,22.547125311348086,11:50:0,11:51:0,11:51:0,11:56:0
