Order_id,O_lng,O_lat,S_lng,S_lat,L_lng,L_lat,D_lng,D_lat,Start_time,Arrive_store_time,Delivery_start_time,End_time
order_4,114.04959614132362,22.52893414132362,114.05422,22.533558,114.042638,22.516419,114.04036074512574,22.519698745125737,11:2:0,11:4:0,11:4:0,11:7:0
order_22,114.05005282356107,22.529390823561076,114.05422,22.533558,114.034977,22.518665,114.0356224520682,22.514960452068195,11:5:0,11:6:0,11:6:0,11:11:0
order_28,114.05018117202566,22.529519172025655,114.05422,22.533558,114.069323,22.547672,114.06971962953237,22.54905762953237,11:6:0,11:7:0,11:7:0,11:11:0
order_0,114.05627642987827,22.53575542987827,114.05422,22.533558,114.069323,22.547672,114.0709913808643,22.550470380864304,11:45:0,11:45:0,11:45:0,11:49:0
order_29,114.0580817141482,22.537560714148203,114.05422,22.533558,114.042638,22.516419,114.04050473893903,22.519983738939043,11:57:0,11:58:0,11:58:0,12:2:0
order_21,114.03036526537583,22.640594265375835,114.033345,22.643574,114.052218,22.661812,114.05063807170337,22.66086707170338,11:12:0,11:13:0,11:13:0,11:18:0
order_2,114.0303041549535,22.6405331549535,114.033345,22.643574,114.059877,22.666172,114.05894393077628,22.669172930776284,11:12:0,11:13:0,11:14:0,11:20:0
order_14,114.0374845517556,22.647713551755597,114.033345,22.643574,114.052218,22.661812,114.05007261437179,22.660301614371793,11:58:0,11:59:0,11:59:0,12:4:0
order_10,113.8853347988101,22.54984379881011,113.887689,22.552198,113.906597,22.57174,113.90581688634059,22.5703258863406,11:16:0,11:17:0,11:17:0,11:21:0
order_9,113.88539297089415,22.549901970894147,113.887689,22.552198,113.91331,22.577058,113.91098018671227,22.575489186712268,11:17:0,11:18:0,11:18:0,11:24:0
order_19,113.88563942834594,22.550148428345945,113.887689,22.552198,113.906597,22.57174,113.90659752903957,22.57110652903958,11:18:0,11:18:0,11:19:0,11:23:0
order_26,113.88538992276892,22.549898922768936,113.887689,22.552198,113.91331,22.577058,113.91125190539695,22.57576090539696,11:17:0,11:18:0,11:20:0,11:26:0
order_23,113.8863161340401,22.550825134040103,113.887689,22.552198,113.902057,22.564742,113.90297884567515,22.567487845675164,11:23:0,11:23:0,11:23:0,11:27:0
order_18,113.89214505906448,22.556654059064474,113.887689,22.552198,113.906597,22.57174,113.90923834415108,22.573747344151087,12:0:0,12:2:0,12:2:0,12:6:0
order_11,114.10543562992338,22.563331629923375,114.106295,22.564191,114.092207,22.551203,114.09254507877397,22.550441078773968,11:26:0,11:26:0,11:26:0,11:29:0
order_24,114.10542915499212,22.563325154992114,114.106295,22.564191,114.092207,22.551203,114.09244147987381,22.550337479873814,11:26:0,11:26:0,11:27:0,11:30:0
order_8,114.10623779937961,22.56413379937961,114.106295,22.564191,114.087004,22.544714,114.08686915843572,22.544765158435716,11:31:0,11:31:0,11:31:0,11:35:0
order_15,114.10622508634859,22.564121086348592,114.106295,22.564191,114.087004,22.544714,114.08640814406758,22.544304144067578,11:31:0,11:31:0,11:32:0,11:36:0
order_17,114.04945257894893,22.528790578948932,114.054153,22.533632,114.042638,22.516419,114.03995176805086,22.51928976805086,11:1:0,11:3:0,11:3:0,11:6:0
order_7,114.0501485474086,22.52948654740859,114.054153,22.533632,114.069323,22.547672,114.07100661227571,22.5503446122757,11:5:0,11:6:0,11:6:0,11:10:0
order_25,114.0503048512694,22.529642851269394,114.054153,22.533632,114.080482,22.556926,114.0770958644775,22.556433864477498,11:6:0,11:7:0,11:7:0,11:14:0
order_13,114.05878606670343,22.53826506670343,114.054153,22.533632,114.034977,22.518665,114.03469737390039,22.514176373900384,11:42:0,11:44:0,11:44:0,11:48:0
order_6,114.0563270787903,22.535806078790305,114.054153,22.533632,114.034977,22.518665,114.03592163953542,22.51540063953541,11:45:0,11:45:0,11:45:0,11:50:0
order_3,114.05644319700554,22.53592219700554,114.054153,22.533632,114.03925,22.524477,114.04087695783177,22.520355957831775,11:46:0,11:47:0,11:47:0,11:50:0
order_16,114.03773636238036,22.620477362380363,114.035202,22.617943,114.048529,22.631614,114.0499248475317,22.6326658475317,11:48:0,11:49:0,11:49:0,11:52:0
order_20,114.03780062746006,22.62054162746006,114.035202,22.617943,114.060683,22.644005,114.05885024158475,22.64159124158476,11:48:0,11:49:0,11:50:0,11:56:0
order_5,114.03792642186365,22.62066742186365,114.035202,22.617943,114.048529,22.631614,114.05114266341015,22.63388366341015,11:49:0,11:50:0,11:51:0,11:54:0
order_12,114.03812019593491,22.62086119593491,114.035202,22.617943,114.055576,22.6377,114.05220395258794,22.634944952587947,11:50:0,11:51:0,11:52:0,11:57:0
order_27,114.03831926289203,22.621060262892037,114.035202,22.617943,114.055576,22.6377,114.05692420744371,22.639665207443723,11:51:0,11:52:0,11:53:0,11:58:0
order_1,114.03867092179395,22.621411921793953,114.035202,22.617943,114.055576,22.6377,114.05533143296721,22.638072432967213,11:54:0,11:55:0,11:55:0,12:0:0
