Order_id,O_lng,O_lat,S_lng,S_lat,L_lng,L_lat,D_lng,D_lat,Start_time,Arrive_store_time,Delivery_start_time,End_time
order_43,114.37069523448181,22.742327234481817,114.367301,22.749807,114.400477,22.768351,114.39667138904588,22.768303389045872,11:13:0,11:15:0,11:15:0,11:22:0
order_30,114.3709290561272,22.742561056127187,114.367301,22.749807,114.400477,22.768351,114.3983804217094,22.770012421709396,11:14:0,11:16:0,11:16:0,11:23:0
order_61,114.02682691456259,22.608607914562587,114.031148,22.612929,114.048529,22.631614,114.04863994845842,22.630420948458415,11:4:0,11:5:0,11:5:0,11:10:0
order_36,114.02695561325608,22.608736613256074,114.031148,22.612929,114.048529,22.631614,114.05092240843373,22.63270340843373,11:5:0,11:6:0,11:6:0,11:11:0
order_59,114.02730502037481,22.609086020374807,114.031148,22.612929,114.048529,22.631614,114.04840780002718,22.63018880002718,11:7:0,11:8:0,11:8:0,11:13:0
order_10,114.03243065791318,22.614211657913177,114.031148,22.612929,114.048529,22.631614,114.0516705266108,22.6334515266108,11:40:0,11:40:0,11:40:0,11:45:0
order_14,114.03273766743246,22.614518667432456,114.031148,22.612929,114.055576,22.6377,114.05658267891927,22.63836367891927,11:42:0,11:42:0,11:42:0,11:48:0
order_71,114.03584530970849,22.61762630970849,114.031148,22.612929,114.055576,22.6377,114.05305485395255,22.634835853952552,11:43:0,11:45:0,11:45:0,11:51:0
order_26,114.03328228318978,22.615063283189777,114.031148,22.612929,114.044946,22.625915,114.0457358129992,22.627516812999197,11:45:0,11:45:0,11:46:0,11:49:0
order_54,114.03419304395199,22.615974043951987,114.031148,22.612929,114.044946,22.625915,114.04767294021727,22.629453940217275,11:51:0,11:52:0,11:52:0,11:55:0
order_5,114.03491213961577,22.61669313961577,114.031148,22.612929,114.055576,22.6377,114.05322589707504,22.635006897075037,11:56:0,11:57:0,11:57:0,12:3:0
order_22,114.03509874643764,22.616879746437643,114.031148,22.612929,114.048529,22.631614,114.04842427742783,22.630205277427827,11:57:0,11:58:0,11:58:0,12:3:0
order_33,113.91235299210383,22.482051992103834,113.915977,22.485676,113.92868,22.50203,113.92966937122266,22.499368371222666,11:8:0,11:9:0,11:9:0,11:13:0
order_9,113.91244883540793,22.482147835407936,113.915977,22.485676,113.94267,22.506226,113.94015957147226,22.509858571472275,11:9:0,11:10:0,11:10:0,11:16:0
order_1,113.91246454397618,22.482163543976192,113.915977,22.485676,113.92868,22.50203,113.93289240107802,22.50259140107802,11:9:0,11:10:0,11:11:0,11:15:0
order_35,113.91251688963607,22.482215889636073,113.915977,22.485676,113.92868,22.50203,113.93262615904794,22.502325159047945,11:9:0,11:10:0,11:12:0,11:16:0
order_79,113.91285052253046,22.482549522530473,113.915977,22.485676,113.92868,22.50203,113.93019983371501,22.49989883371501,11:11:0,11:12:0,11:13:0,11:17:0
order_18,113.91282639374639,22.482525393746396,113.915977,22.485676,113.934392,22.507019,113.93414227913169,22.5038412791317,11:11:0,11:12:0,11:14:0,11:19:0
order_8,113.9127870051282,22.482486005128195,113.915977,22.485676,113.92868,22.50203,113.9297519898278,22.499450989827803,11:11:0,11:12:0,11:15:0,11:19:0
order_24,113.91987735742141,22.489576357421416,113.915977,22.485676,113.94032,22.514026,113.94211849350053,22.51181749350054,11:56:0,11:57:0,11:57:0,12:4:0
order_76,114.37077191984287,22.74240391984286,114.373626,22.745258,114.400477,22.768351,114.39894826060446,22.77058026060445,11:13:0,11:14:0,11:14:0,11:20:0
order_65,114.37088843979328,22.742520439793275,114.373626,22.745258,114.400477,22.768351,114.39725082866022,22.76888282866021,11:14:0,11:15:0,11:15:0,11:21:0
