Order_id,O_lng,O_lat,S_lng,S_lat,L_lng,L_lat,D_lng,D_lat,Start_time,Arrive_store_time,Delivery_start_time,End_time
order_18,114.14018622637772,22.680753226377725,114.145081,22.685648,114.13135,22.666602,114.1291807901565,22.6697477901565,11:0:0,11:2:0,11:2:0,11:6:0
order_78,114.14041653984151,22.6809835398415,114.145081,22.685648,114.126176,22.660938,114.12285130228487,22.66341830228486,11:2:0,11:4:0,11:4:0,11:9:0
order_16,114.08199806598176,22.54183306598176,114.08627,22.546105,114.107675,22.57006,114.11184687013855,22.57168187013856,11:4:0,11:5:0,11:5:0,11:11:0
order_25,114.0820518690509,22.541886869050906,114.08627,22.546105,114.107675,22.57006,114.11085143981029,22.570686439810288,11:5:0,11:6:0,11:6:0,11:12:0
order_98,114.08209817080738,22.541933170807383,114.08627,22.546105,114.107675,22.57006,114.10898089231425,22.568815892314248,11:5:0,11:6:0,11:7:0,11:13:0
order_81,114.08208838169294,22.541923381692943,114.08627,22.546105,114.062259,22.527399,114.06512911681722,22.524964116817216,11:5:0,11:6:0,11:8:0,11:14:0
order_7,114.08222410097099,22.542059100970985,114.08627,22.546105,114.057335,22.522172,114.06070341559847,22.520538415598473,11:6:0,11:7:0,11:9:0,11:16:0
order_58,114.08250129533783,22.542336295337833,114.08627,22.546105,114.107675,22.57006,114.11138776036103,22.571222760361028,11:7:0,11:8:0,11:10:0,11:16:0
order_94,114.08931453134335,22.549149531343346,114.08627,22.546105,114.107675,22.57006,114.11191466157067,22.571749661570664,11:51:0,11:52:0,11:52:0,11:58:0
order_38,114.08982813496579,22.549663134965787,114.08627,22.546105,114.107675,22.57006,114.11152429451529,22.571359294515293,11:54:0,11:55:0,11:55:0,12:1:0
order_0,114.09036769237923,22.55020269237924,114.08627,22.546105,114.067691,22.533532,114.07088059728747,22.53071559728747,11:58:0,11:59:0,11:59:0,12:3:0
order_37,113.89673616078832,22.572484160788324,113.900254,22.576002000000003,113.9125,22.591037,113.91661565770646,22.592363657706464,11:9:0,11:10:0,11:10:0,11:14:0
order_23,113.89685768224147,22.572605682241473,113.900254,22.576002000000003,113.9125,22.591037,113.91417518305028,22.589923183050267,11:10:0,11:11:0,11:11:0,11:15:0
order_36,113.89687364014841,22.57262164014841,113.900254,22.576002000000003,113.9125,22.591037,113.91676598949837,22.59251398949837,11:10:0,11:11:0,11:12:0,11:16:0
order_88,113.89687014319112,22.572618143191114,113.900254,22.576002000000003,113.9125,22.591037,113.91495147619324,22.590699476193237,11:10:0,11:11:0,11:13:0,11:17:0
order_96,113.89465991171025,22.56834591171025,113.900254,22.576002000000003,113.912026,22.5836,113.91165941762654,22.585345417626538,11:22:0,11:25:0,11:25:0,11:27:0
order_15,113.90204061474086,22.577788614740857,113.900254,22.576002000000003,113.888657,22.559798,113.88391720595082,22.55966520595082,11:43:0,11:43:0,11:43:0,11:47:0
order_90,113.89435542132982,22.56804142132983,113.900254,22.576002000000003,113.90478,22.578518,113.90720732007642,22.580893320076427,11:41:0,11:44:0,11:44:0,11:45:0
order_54,113.90273255634553,22.578480556345518,113.900254,22.576002000000003,113.9125,22.591037,113.91540847378403,22.591156473784025,11:47:0,11:48:0,11:48:0,11:51:0
order_11,113.90304173085603,22.57878973085603,113.900254,22.576002000000003,113.9125,22.591037,113.91633480046814,22.592082800468127,11:49:0,11:50:0,11:50:0,11:53:0
order_59,113.90402969222292,22.57977769222292,113.900254,22.576002000000003,113.880421,22.550878,113.87647637716938,22.552224377169377,11:56:0,11:57:0,11:57:0,12:3:0
order_53,113.90417698182833,22.579924981828327,113.900254,22.576002000000003,113.881279,22.56337,113.88377215988449,22.559520159884492,11:57:0,11:58:0,11:58:0,12:2:0
order_51,113.89428976291818,22.56797576291818,113.900254,22.576002000000003,113.912026,22.5836,113.91070155795153,22.58438755795153,12:0:0,12:3:0,12:3:0,12:5:0
order_83,113.83553822035641,22.6951862203564,113.838537,22.698185,113.820555,22.677987,113.81800717922896,22.677655179228953,11:12:0,11:13:0,11:13:0,11:18:0
order_69,113.83560646158519,22.695254461585186,113.838537,22.698185,113.814193,22.675552,113.81214617147478,22.671794171474776,11:13:0,11:14:0,11:14:0,11:20:0
