time,cur_obj,cur_bound,root_obj
7.398000001907349,3325.759433332685,0.0,0.0
9.402000188827515,1808.607866666658,0.0,
9.826000213623047,1807.646333333305,0.0,
15.08400011062622,1687.325599999971,0.0,
15.09000015258789,608.2859666666227,0.0,
16.00100016593933,558.536199999955,0.0,
17.826000213623047,402.46286666653396,0.0,
23.758000135421753,348.20026666647027,0.0,
23.766000032424927,291.8668666666272,0.0,
23.77500009536743,205.66706666653772,0.0,
26.3030002117157,204.70456666650716,0.0,
31.7810001373291,201.4882666665435,0.0,
34.36900019645691,200.92466666657128,0.0,
36.36400008201599,200.89313333325845,0.0,
41.49500012397766,200.58299999996598,0.0,
41.50200009346008,200.52926666663916,0.0,
41.509000062942505,193.83933333308232,0.0,
50.12400007247925,191.06823333325156,0.0,
50.134000062942505,190.53599999989092,0.0,
53.693000078201294,190.34743333302686,0.0,
66.14300012588501,190.3158999997213,0.0,
66.15200018882751,190.30089999978372,0.0,
219.7460000514984,190.25189999996292,0.0,
238.62800002098083,190.20239999988553,0.0,
1285.4480001926422,190.20163333329765,102.41118534165798,
2787.2139999866486,190.16046666642433,150.03445941523145,
3296.183000087738,190.12436666991925,155.1892248500808,
3648.4140000343323,190.12436204847108,159.35418197302351,
5644.2480001449585,190.12436666666702,190.11099999586804,
5644.371999979019,190.12436666666702,190.11099999586804,
