time,cur_obj,cur_bound,root_obj
22.10199999809265,8169.8198666634635,267.89549999997644,267.89549999997644
28.7189998626709,8124.35849999699,267.89549999999144,
29.30299997329712,7852.78613333017,267.89549999999144,
42.87999987602234,3040.2960333331575,267.89549999999144,
44.39800000190735,3013.3525999990816,267.89549999999144,
57.45599985122681,2418.721020774654,267.89549999999144,
81.51899981498718,2049.2166333326604,267.89549999999144,
92.2739999294281,1893.6171333321254,267.89549999999144,
130.17700004577637,1720.9249999993626,267.89549999999144,
130.21599984169006,1440.2389999997322,267.89549999999144,
130.2539999485016,1248.2243860616582,267.89549999999144,
130.2960000038147,1211.8778333322844,267.89549999999144,
194.18899989128113,1049.7737333325204,267.89549999999144,
194.25099992752075,951.8415333322846,267.89549999999144,
194.29900002479553,864.8323333327717,267.89549999999144,
255.43299984931946,760.3166999995155,267.89549999999144,
255.47899985313416,752.5624896283916,267.89549999999144,
255.52699995040894,697.159433332803,267.89549999999144,
274.96799993515015,692.7729333324969,267.89549999999144,
323.8880000114441,600.7642999990203,267.89549999999144,
367.15499997138977,583.8171999997649,267.89549999999144,
388.0390000343323,575.3564333330869,267.89549999999144,
492.08399987220764,574.2598333317001,267.89549999999144,
492.14999985694885,572.2427333321903,267.89549999999144,
528.521999835968,572.2217333327644,267.89549999999144,
528.5950000286102,572.2214333322117,267.89549999999144,
528.6529998779297,572.1572333324584,267.89549999999144,
643.3120000362396,568.6597333330938,267.89549999999144,
643.3680000305176,565.1758333330145,267.89549999999144,
780.7709999084473,564.537999999804,267.89549999999144,
934.2279999256134,564.5169999998689,267.89549999999144,
934.3269999027252,563.9407999998948,267.89549999999144,
1015.0969998836517,563.9371882165142,267.89549999999144,
1067.6849999427795,563.9197999999305,267.89549999999144,
1114.4219999313354,563.8882999999114,267.89549999999144,
1548.3450000286102,563.8880029069696,283.43620922874106,
1739.7919998168945,563.8880027609848,286.5451167041392,
2011.5260000228882,563.8880026655679,287.60778352722264,
2226.4719998836517,563.8818539572312,288.4028833535558,
3185.1459999084473,563.8804524239822,315.1598822999513,
5197.296999931335,553.7516162761967,364.37735081899154,
5306.896999835968,548.2861999996603,364.37735081899154,
5322.985999822617,548.2726999995939,364.37735081899154,
5323.09099984169,548.2699999997785,364.37735081899154,
6447.02799987793,548.2699997856835,456.3186754624694,
7201.077999830246,548.2699997856839,459.73415921984997,
